Province name,District municipality name,District/Local municipality name,Total Population,Black African,Coloured,Indian/Asian,White,Informal Dwelling,Piped (tap) water on community stand,No access to piped (tap) water,Pit toilet,Bucket toilet,Communal refuse dump,Communal container/central collection point,Own refuse dump,Dump or leave rubbish anywhere (no rubbish disposal),Gas for lighting,Paraffin for lighting,Candles for lighting,Paraffin for cooking,Wood for cooking,Coal for cooking,Animal dung for cooking
Mpumalanga,Nkangala,Dr JS Moroka,324855.0712,322943.1591,785.657003,703.803453,342.9740999,2719.316211,4121.189544,19805.76609,48416.9562,761.8034377,2128.423187,502.3612278,50382.19544,4693.359704,57.05915481,79.86726565,1122.140767,447.4932742,11328.69945,41.5193059,28.22413488
Mpumalanga,Ehlanzeni,Ehlanzeni,2270896.786,2196679.712,10371.35902,7951.981387,55296.66816,15345.10272,58700.9025,104356.6207,310374.1159,7392.536977,11373.89036,12083.52367,310013.5026,24959.89466,1669.098545,1428.542497,12348.64399,2902.565523,66010.27486,654.2224831,45.78271436
Mpumalanga,Ehlanzeni,Thaba Chweu,109222.5938,95696.94639,1942.982234,649.5014297,10891.56407,6859.731929,3708.503186,2887.885923,10743.23866,337.080278,254.0595831,1723.692907,10250.92477,2125.637363,58.30528533,421.0777783,4462.418583,1712.787726,4766.554083,70.14613519,1.206713912
Mpumalanga,Ehlanzeni,Nkomazi,591927.7369,579754.8671,1749.798695,1793.883725,8431.385701,3059.588812,11645.49818,27622.90908,85733.06998,1416.98297,3167.876055,6953.818656,73174.85124,8666.22644,1109.870268,366.9148421,3347.543385,330.0125683,16138.36423,398.4618469,16.20405248
Mpumalanga,Ehlanzeni,Bushbuckridge,750820.9848,747021.3295,1787.480295,1029.875071,956.8831511,811.5659014,26939.80116,18770.82019,115154.7497,3102.143802,3100.811324,834.5070725,121133.1228,6189.615272,165.272524,212.8037879,1560.187138,275.7314082,40255.80183,91.68451858,14.0645517
Mpumalanga,Ehlanzeni,City of Mbombela,818925.4706,774206.569,4891.097798,4478.721161,35016.83524,4614.216075,16407.09997,55075.00553,98743.05755,2536.329928,4851.143402,2571.505032,105454.6038,7978.415582,335.650468,427.7460888,2978.49488,584.0338213,4849.554715,93.92998244,14.30739627
Limpopo,Mopani,Mopani,1372872.715,1329411.056,2599.826934,6231.188995,33048.11999,3418.023905,84857.10121,81390.48755,223758.7258,6261.403666,8934.793139,9359.158016,212977.1067,27359.60172,436.7620051,605.85821,5708.881061,514.1401203,149728.4629,197.8366682,20.80753107
Limpopo,Mopani,Greater Giyani,316841.3165,312803.4132,457.8165089,2816.532787,414.5709804,726.2106361,23772.20043,18351.23936,51406.11673,1934.437903,1223.578387,567.9076183,50167.37674,8813.738083,35.9569911,71.90496446,1082.92192,92.14162139,49707.96318,60.16678102,1.180975183
Limpopo,Mopani,Greater Letaba,261038.4297,257350.1743,391.8026182,568.5156235,2386.649082,1130.256663,22871.63439,9800.566186,46414.80787,1530.987323,2357.218982,1314.582971,43355.07807,5542.53857,60.4726848,141.5537189,1138.560615,106.4011172,34424.79223,43.0574176,5.883757266
Limpopo,Mopani,Greater Tzaneen,478253.506,464489.3885,1011.366949,1993.705135,10333.61418,1267.404547,26214.15631,38334.50642,83459.51609,1389.684955,3271.855194,4571.472109,77169.90777,8311.391635,157.7553659,300.4018422,2071.476576,249.60689,36039.44141,47.58791407,12.56182344
Limpopo,Mopani,Ba-Phalaborwa,188602.6072,175850.6349,402.1138866,494.5668968,11600.21517,132.4952725,5325.691578,7813.852982,21935.14352,849.6665905,1072.442653,2135.35952,21605.18177,3005.487242,81.80057144,42.54084531,731.29539,40.43794135,12917.21245,22.22407669,1.180975183
Limpopo,Mopani,Maruleng,128136.8553,118917.4446,336.726971,357.8685535,8313.070571,161.6567864,6673.418502,7090.322601,20543.14155,556.6268954,1009.697923,769.8357977,20679.56236,1686.446194,100.7763919,49.45683924,684.6265594,25.55255045,16639.05367,24.80047884,0.0
Limpopo,Vhembe,Vhembe,1653077.171,1621253.42,3147.664723,11058.18374,16124.88184,6966.043765,96527.33362,93058.79299,271055.9951,7958.636602,6993.035869,11697.226,269922.049,31168.45101,740.187925,660.5569419,9096.529387,1638.98167,220966.7748,321.936655,25.65483424
Limpopo,Vhembe,Musina,130899.2093,126607.2222,368.7281648,736.2988638,2991.33097,2761.911164,11502.43834,4119.845034,14760.43321,1315.41486,1318.709599,3978.936017,14770.53637,2408.331554,42.24237479,131.1930387,2292.029121,79.35793247,16398.44431,45.55534346,5.293470997
